symbol,group,top_tissue,top_tissue_tpm,brain_mean,nonbrain_mean,log2fc_brain_vs_nonbrain,tau
SOD1,POS,Liver_Mixed_Cell,487.239,8.024276656809507,7.396720100927178,0.6275565558823288,0.5931269103798489
BHLHA9,POS,Brain_Frontal_Cortex_BA9,1.9611,0.5861549554380308,0.0333665194360988,0.552788436001932,0.9463159535046202
IRX1,POS,Kidney_Medulla,36.4832,1.2872158792479491,0.819407115023333,0.4678087642246161,0.9462397437970222
HYDIN2,POS,Brain_Cerebellum,1.57148,0.7013906533620411,0.3519350265271032,0.3494556268349379,0.7742826279552425
CRKL,POS,Cells_EBV-transformed_lymphocytes,72.9177,5.178927814910852,4.92804067770082,0.2508871372100314,0.5550461398322734
PTHLH,POS,Vagina,7.7601,1.0998733983896247,0.8575225948032494,0.2423508035863752,0.8596135993785278
FBXW4,POS,Brain_Spinal_cord_cervical_c-1,81.8919,5.306415822801735,5.081626000717037,0.2247898220846975,0.5569534121729788
NF1,POS,Cells_Cultured_fibroblasts,17.634,3.13095998539412,2.9206904157365243,0.2102695696575955,0.5800727563272443
LBX1,POS,Muscle_Skeletal,8.23937,0.2424806736190375,0.0665005219801168,0.1759801516389207,0.9927415856802122
LMBR1,POS,Adrenal_Gland,17.0318,3.0161017583312724,2.9085107763945963,0.107590981936676,0.5843758111472953
PRDM13,POS,Testis,0.369223,0.0295866392990556,0.0171305562707414,0.0124560830283141,0.973018389040543
